Chr	Start	End	Symbol	FBgn	Strand
2L	3039976	3041890	CG17221	FBgn0031500	+
2L	3042551	3043593	CG17261	FBgn0031501	+
2L	3043947	3056143	FASN2	FBgn0042627	+
2L	3046765	3046880	snRNA:LU	FBgn0263847	+
2L	3048701	3048831	snRNA:U5:23D	FBgn0003934	+
2L	3056598	3068177	FASN1	FBgn0283427	+
2L	3068345	3144786	toc	FBgn0015600	-
2L	3109672	3110998	PpD6	FBgn0005779	+
2L	3128635	3129489	CG15403	FBgn0031504	+
2L	3144953	3145848	ND-B14.5B	FBgn0031505	-
2L	3146056	3159643	Mad	FBgn0011648	-
2L	3159950	3162399	gkt	FBgn0260817	+
2L	3162515	3163289	CR31953	FBgn0051953	+
2L	3163645	3169462	Hydr2	FBgn0014906	+
2L	3169582	3169663	tRNA:Ser-AGA-2-3	FBgn0011985	+
2L	3169820	3171092	CG44002	FBgn0264744	-
2L	3171035	3172799	CR44003	FBgn0264745	-
